# Unicode to CP850 mapping table
# 2023-01-21 M. Brutman

# Values 0x00 to 0x1f from
# https://github.com/torvalds/linux/blob/master/drivers/tty/vt/cp437.uni.
#
# Values 0x80 to 0xff based on https://en.wikipedia.org/wiki/Code_page_850
# with some additional mappings added.

0x263a 0x01
0x263b 0x02
0x2665 0x03
0x2666 0x04
0x25c6 0x04
0x2663 0x05
0x2660 0x06
0x2022 0x07
0x25d8 0x08
0x25cb 0x09
0x25d9 0x0a
0x2642 0x0b
0x2640 0x0c
0x266a 0x0d
0x266b 0x0e
0x263c 0x0f
0x00a4 0x0f
0x25b6 0x10
0x25ba 0x10
0x25c0 0x11
0x25c4 0x11
0x2195 0x12
0x203c 0x13
0x00b6 0x14
0x00a7 0x15
0x25ac 0x16
0x21a8 0x17
0x2191 0x18
0x2193 0x19
0x2192 0x1a
0x2190 0x1b
0x221f 0x1c
0x2194 0x1d
0x25b2 0x1e
0x25bc 0x1f

0x00c7 0x80
0x00fc 0x81
0x00e9 0x82
0x00e2 0x83
0x00e4 0x84
0x00e0 0x85
0x00e5 0x86
0x00e7 0x87
0x00ea 0x88
0x00eb 0x89
0x00e8 0x8a
0x00ef 0x8b
0x00ee 0x8c
0x00ec 0x8d
0x00c4 0x8e
0x00c5 0x8f
0x00c9 0x90
0x00e6 0x91
0x00c6 0x92
0x00f4 0x93
0x00f6 0x94
0x00f2 0x95
0x00fb 0x96
0x00f9 0x97
0x00ff 0x98
0x00d6 0x99
0x00dc 0x9a
0x00f8 0x9b
0x00a3 0x9c
0x00d8 0x9d
0x00d7 0x9e
0x0192 0x9f
0x00e1 0xa0
0x00ed 0xa1
0x00f3 0xa2
0x00fa 0xa3
0x00f1 0xa4
0x00d1 0xa5
0x00aa 0xa6
0x00ba 0xa7
0x00bf 0xa8
0x00ae 0xa9
0x00ac 0xaa
0x00bd 0xab
0x00bc 0xac
0x00a1 0xad
0x00ab 0xae
0x00bb 0xaf
0x2591 0xb0
0x2592 0xb1
0x2593 0xb2
0x2502 0xb3
0x2503 0xb3
0x2524 0xb4
0x2525 0xb4
